placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned
https://www.google.com/maps/place/Mood+Treatment+Center/data=!4m7!3m6!1s0x88531abac0c7d3c9:0xb1901fc44bd16a2c!8m2!3d36.022231!4d-79.9065576!16s%2Fg%2F11b808k0cj!19sChIJydPHwLoaU4gRLGrRS8QfkLE,Mood Treatment Center,4.6,310,Mental health clinic,"1901 Adams Farm Pkwy, Greensboro, NC 27407, United States","23CV+V9 Greensboro, North Carolina, USA",https://www.moodtreatmentcenter.com/,+1 336-722-7266,Closed · Opens 8 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNeYEEASsi64rhljf6QQftJiii8QjW1oGcJ0KAA=w630-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-12-16T02:15:18.504Z,
https://www.google.com/maps/place/GPW+Psychiatry+-+Greensboro/data=!4m7!3m6!1s0x88531b2da06f726f:0x69d22e0dd4fdc043!8m2!3d36.0470704!4d-79.8403635!16s%2Fg%2F11x2268_pj!19sChIJb3JvoC0bU4gRQ8D91A0u0mk,GPW Psychiatry - Greensboro,4.1,9,Mental health clinic,"2211 W Meadowview Rd #150, Greensboro, NC 27407, United States","25W5+RV Greensboro, North Carolina, USA",https://www.gpwpsychiatry.com/,+1 919-870-8409,Closed · Opens 8 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rTdB_Q-dh1oSYRCQaW4FDw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=237.36511&pitch=0&thumbfov=100,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,8 am–2 pm,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-12-16T02:15:24.914Z,
https://www.google.com/maps/place/Triad+Mental+Health+Partners/data=!4m7!3m6!1s0x885319eb2c649139:0x9b5c92f06f9315c2!8m2!3d36.0797179!4d-79.7906604!16s%2Fg%2F11xdvy6dkv!19sChIJOZFkLOsZU4gRwhWTb_CSXJs,Triad Mental Health Partners,5.0,43,Mental health clinic,"612 N Greene St, Greensboro, NC 27401, United States","36H5+VP Greensboro, North Carolina, USA",https://toptierpsych.com/triadmhpartners/greensboro-nc/,+1 336-333-0331,,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipO-hdI4Imc66jYyccp1hiidZMBWj1iF0kmGiG1S=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-12-16T02:15:29.857Z,
https://www.google.com/maps/place/Singleton+Care+Inc./data=!4m7!3m6!1s0x88531bd2f4fd326b:0xff6726976f532a94!8m2!3d36.0502083!4d-79.8393907!16s%2Fg%2F1x5fc1l7!19sChIJazL99NIbU4gRlCpTb5cmZ_8,Singleton Care Inc.,5.0,2,Mental health service,"1 Centerview Dr, Greensboro, NC 27407, United States","3526+36 Greensboro, North Carolina, USA",,+1 336-285-7176,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ILuo-_yRKt0gTaI26v5LgA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=217.04495&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-12-16T02:15:32.765Z,
"https://www.google.com/maps/place/Carolina+Restorative+Health,+PLLC/@36.0658743,-79.9086568,17z/data=!3m1!4b1!4m6!3m5!1s0x885305e4491cd3c7:0xb1e276722cfed76f!8m2!3d36.0658743!4d-79.9086568!16s%2Fg%2F11vwh0xnvz","Carolina Restorative Health, PLLC",5.0,6,Mental health clinic,"339 S Swing Rd, Greensboro, NC 27409, United States","338R+8G Greensboro, North Carolina, USA",https://www.crhnc.org/,+1 336-579-0708,,Identifies as women-owned,,true,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-12-16T02:15:39.756Z,
"https://www.google.com/maps/place/Choice+Behavior+Health+Consultation/@36.0495091,-79.8421729,17z/data=!3m1!4b1!4m6!3m5!1s0x88531bcd6b3a29fd:0xbf5129e563d06ec7!8m2!3d36.0495091!4d-79.8421729!16s%2Fg%2F1tj5394s",Choice Behavior Health Consultation,4.5,2,Mental health service,"2302 W Meadowview Rd, Greensboro, NC 27407, United States","25X5+R4 Greensboro, North Carolina, USA",,+1 336-617-0764,,,,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-12-16T02:15:44.849Z,
https://www.google.com/maps/place/Pasadena+Villa+Outpatient+Triad/data=!4m7!3m6!1s0x885305a01b662b53:0x35382ad0a92575a7!8m2!3d36.0869591!4d-79.9653146!16s%2Fg%2F11m_wz9bv6!19sChIJUytmG6AFU4gRp3UlqdAqODU,Pasadena Villa Outpatient Triad,4.9,111,Mental health clinic,"7900 Triad Center Dr # 300, Greensboro, NC 27409, United States","32PM+QV Greensboro, North Carolina, USA",https://pasadenavillaoutpatient.com/greensboro-triad/?utm_source=google-business-profile&utm_medium=organic&utm_campaign=brand,+1 336-895-1490,Closed · Opens 8 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMmSyGCtbUNb9uL5z0sFNBMNbKtHiR_nQ4yakgd=w408-h313-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-12-16T02:15:50.206Z,
https://www.google.com/maps/place/Khosrow+Bahrani/data=!4m7!3m6!1s0x88531bd2a43f42e5:0x7194fc72a5f2270d!8m2!3d36.048786!4d-79.8404373!16s%2Fg%2F11rwxgg8zn!19sChIJ5UI_pNIbU4gRDSfypXL8lHE,Khosrow Bahrani,,,Psychiatrist,"5 Centerview Dr, Greensboro, NC 27407, United States","25X5+GR Greensboro, North Carolina, USA",,+1 336-887-0708,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ubFqgBpKF2zjSvGDFV-Rdw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=86.34716&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-12-16T02:15:53.035Z,
https://www.google.com/maps/place/Mental+Health+Services+of+NC/data=!4m7!3m6!1s0x88531f1e9a6dad1b:0xfaf970582746723c!8m2!3d36.04033!4d-79.87495!16s%2Fg%2F1tf8tt6f!19sChIJG61tmh4fU4gRPHJGJ1hw-fo,Mental Health Services of NC,2.3,3,Mental health service,"In the back of the business park, 2100 Fairfax Rd, Greensboro, NC 27407, United States","24RG+42 Greensboro, North Carolina, USA",http://www.mentalhealthsupports.org/,+1 336-500-8925,Closed · Opens 9:30 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyk_JRUYamp-lIXqbFgYYOJTmWaKSqF_Ya_JZdldIDR0N7mbvCs7Y_Pd3jXmDtI0pwKl4DmYljmq21VhRN5Ch1H4sGto0dTHqiuZeMt96JWZa1F73kMJwCSYWYgipEX46C0QXKnYA=w408-h288-k-no,true,9:30 am–4:30 pm,9:30 am–4:30 pm,9:30 am–4:30 pm,9:30 am–4:30 pm,9:30 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-12-16T02:15:57.775Z,
https://www.google.com/maps/place/Piedmont+Partners+for+Mental+Health/data=!4m7!3m6!1s0x88531dd34b8e7829:0xffb0a2e6c6ec67f3!8m2!3d36.118961!4d-79.877905!16s%2Fg%2F11vwhtq05c!19sChIJKXiOS9MdU4gR82fsxuaisP8,Piedmont Partners for Mental Health,4.9,164,Mental health clinic,"2723 Horse Pen Creek Rd #105, Greensboro, NC 27410, United States","449C+HR Greensboro, North Carolina, USA",https://piedmontpartnersmh.com/,+1 336-265-1762,Closed · Opens 8 am Tue,,https://lh3.googleusercontent.com/p/AF1QipMWRnzN_-f6jRthz1T1lwoaJGMtdpnnZCvwdVEf=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-12-16T02:16:02.869Z,
