placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,attributes,error
"https://www.google.com/maps/place/Paul+Schumacher,+MD/data=!4m7!3m6!1s0x54c0e182126efc27:0x9a9306c310ce5bee!8m2!3d44.9333234!4d-123.0356315!16s%2Fg%2F1v46_220!19sChIJJ_xuEoLhwFQR7lvOEMMGk5o","Paul Schumacher, MD",5.0,5,Surgeon,"665 Winter St SE, Salem, OR 97301, United States","WXM7+8P Salem, Oregon, USA",https://mychart.salemhealth.org/mychart/app/providers/PaulSchumacherMD/1821145640,+1 503-814-8272,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipMNXLmZ7E0BtCekGU44EeEV2srJnWAwLpDKcD0=w426-h240-k-no,true,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,8:30 am–4:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-12-16T22:21:02.237Z,,,
https://www.google.com/maps/place/Salem+Health+Surgical+Specialty+Clinic+%E2%80%93+Vascular+Surgery/data=!4m7!3m6!1s0x54bffff264424059:0x648220259729b83a!8m2!3d44.9333234!4d-123.0356315!16s%2Fg%2F11l6bt44b6!19sChIJWUBCZPL_v1QROrgplyUggmQ,Salem Health Surgical Specialty Clinic – Vascular Surgery,,,Surgical center,"665 Winter St SE, Salem, OR 97301, United States","WXM7+8P Salem, Oregon, USA",https://www.salemhealth.org/services/heart/vascular-surgery,+1 503-814-8272,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMDHtfaqc5SxSxpqv6iRsouDlof7a7UVNmSXOva=w408-h306-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,7 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-12-16T22:21:06.738Z,,,
https://www.google.com/maps/place/Pittman+Rick+D+MD/data=!4m7!3m6!1s0x54bfff5da936bcb9:0x99f7651b6eba9938!8m2!3d44.920221!4d-123.029629!16s%2Fg%2F1tm0bjq7!19sChIJubw2qV3_v1QROJm6bhtl95k,Pittman Rick D MD,5.0,1,Vascular surgeon,"1793 13th St SE, Salem, OR 97302, United States","WXCC+34 Salem, Oregon, USA",https://www.frontierdermatology.com/rick-pittman,+1 503-362-8385,,https://lh3.googleusercontent.com/p/AF1QipOzKNC63eMc90eOo-_kcnbQe1Mig9n9OtR5WCHJ=w408-h271-k-no,true,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-12-16T22:21:09.106Z,,,
"https://www.google.com/maps/place/Timothy+C.+Hodges,+MD/@44.9333234,-123.0356315,18z/data=!3m1!4b1!4m6!3m5!1s0x54bfff6bb1c00001:0x7a102ef2fc4ee938!8m2!3d44.9333234!4d-123.0356315!16s%2Fg%2F11rwxg2b1z","Timothy C. Hodges, MD",2.7,6,Vascular surgeon,"665 Winter St SE, Salem, OR 97301, United States",,https://www.salemhealth.org/services/heart/vascular-surgery,+1 503-814-8272,Open · Closes 4:30 pm,,true,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,8:30 am–4:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-12-16T22:21:15.771Z,,,
https://www.google.com/maps/place/Bella+Rose+Medispa/data=!4m7!3m6!1s0x54bfff5d65cb5cd1:0x44f8b5852aaa2211!8m2!3d44.9274442!4d-123.0430628!16s%2Fg%2F119wv5k6h!19sChIJ0VzLZV3_v1QRESKqKoW1-EQ,Bella Rose Medispa,4.8,290,Medical spa,"1395 Liberty St SE 2nd floor, Salem, OR 97302, United States","WXG4+XQ Salem, Oregon, USA",http://www.bellarosemedispa.com/?utm_source=gmb_auth,+1 503-585-7673,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMZSckIu4UfwHFDmbY7xAM5YTbybtve0nIUzSaa=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-12-16T22:21:20.298Z,,,
https://www.google.com/maps/place/VIDA+Aesthetic+Medicine+Salem/data=!4m7!3m6!1s0x54bfff6877e4c9c5:0xe112b715cc56593c!8m2!3d44.9297651!4d-123.0432051!16s%2Fg%2F1vk6yyxj!19sChIJxcnkd2j_v1QRPFlWzBW3EuE,VIDA Aesthetic Medicine Salem,4.9,396,Medical spa,"1115 Liberty St SE, Salem, OR 97302, United States","WXH4+WP Salem, Oregon, USA",https://vidaskincare.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_salem&utm_content=website_link,+1 503-967-4931,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipOBhUpIh52KINsyd1ITftLuI2fFsYnhKUMEoRX0=w408-h612-k-no,true,9 am–6 pm,9 am–5 pm,9 am–6 pm,9 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/vein+clinics+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-12-16T22:21:24.741Z,LGBTQ+ friendly,,
"https://www.google.com/maps/place/Salem+Health+Vascular+Surgery+Clinic/@44.9333234,-123.0356315,17z/data=!3m1!4b1!4m6!3m5!1s0x54bfffd6961f2e03:0x5aa9e9452eea6618!8m2!3d44.9333234!4d-123.0356315!16s%2Fg%2F11yj8pfdnc",Salem Health Vascular Surgery Clinic,,,Medical clinic,"665 Winter St SE, Salem, OR 97301, United States","WXM7+8P Salem, Oregon, USA",https://www.salemhealth.org/services/heart/vascular-surgery,+1 503-814-8272,,,true,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-12-16T22:21:28.903Z,,,
https://www.google.com/maps/place/Salem+Laser+and+Surgery+Center/data=!4m7!3m6!1s0x54bfff678ebfec3b:0x782033cda34cfa70!8m2!3d44.9280052!4d-123.043856!16s%2Fg%2F11csqw7dwy!19sChIJO-y_jmf_v1QRcPpMo80zIHg,Salem Laser and Surgery Center,4.9,747,Surgical center,"1330 Commercial St SE, Salem, OR 97302, United States","WXH4+6F Salem, Oregon, USA",http://salemeyesurgery.com/,+1 888-762-0754,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pT9rciRrmFkcdqTolVj_BQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=138.92969&pitch=0&thumbfov=100,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,7:30 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-12-16T22:21:33.324Z,,,
https://www.google.com/maps/place/Salem+Health+Heart+%26+Vascular+Center/data=!4m7!3m6!1s0x54bfff6a5573091b:0x206c18b58486e4ad!8m2!3d44.9331601!4d-123.0351762!16s%2Fg%2F1tggt7nb!19sChIJGwlzVWr_v1QRreSGhLUYbCA,Salem Health Heart & Vascular Center,4.5,28,Cardiologist,"665 Winter St SE, Salem, OR 97301, United States","WXM7+7W Salem, Oregon, USA",http://www.salemhealth.org/services/heart,+1 503-814-1700,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yOZKbqs8VPhdcPlpaQ5NLA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=291.35318&pitch=0&thumbfov=100,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,7 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-12-16T22:21:37.813Z,,,
https://www.google.com/maps/place/Neaman+Plastic+Surgery+%26+Medi+Spa/data=!4m7!3m6!1s0x54bfff6ae2db674f:0x7d938157ae74a9d2!8m2!3d44.9270021!4d-123.0439594!16s%2Fg%2F1ptvqhkg5!19sChIJT2fb4mr_v1QR0ql0rleBk30,Neaman Plastic Surgery & Medi Spa,4.8,907,Plastic surgery clinic,"1430 Commercial St SE, Salem, OR 97302, United States","WXG4+RC Salem, Oregon, USA",https://www.neamanplasticsurgery.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 503-364-5033,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipP7GvEG5d4rAXe-87u-38DjHQlW772DHwzFU071=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-12-16T22:21:42.188Z,LGBTQ+ friendly,,
