placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned
https://www.google.com/maps/place/LifeStance+Therapists+%26+Psychiatrists+Cayce/data=!4m7!3m6!1s0x88f8bb1175bb984b:0x7b2c1767773eac6d!8m2!3d33.9862847!4d-81.055467!16s%2Fg%2F11kj52g__5!19sChIJS5i7dRG7-IgRbaw-d2cXLHs,LifeStance Therapists & Psychiatrists Cayce,4.6,164,Mental health clinic,"440 Knox Abbott Dr Suite 400, Cayce, SC 29033, United States","XWPV+GR Cayce, South Carolina, USA",https://lifestance.com/location/cayce-sc-440-knox-abbott-dr/?utm_source=gmb&utm_medium=organic&utm_campaign=locations,+1 839-213-6429,Closed · Opens 8:30 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMigs2VIuciYkUfqg7DVv-d3YHYfzNAOYvA6E1I=w427-h240-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-12-16T00:40:34.534Z,
"https://www.google.com/maps/place/Kya+Coreisa+Davis,+Psychiatric+Nurse+Practitioner/data=!4m7!3m6!1s0x88f8bb519f089c2b:0x356cd557c2506a10!8m2!3d33.9860567!4d-81.0555911!16s%2Fg%2F11ycdx9028!19sChIJK5wIn1G7-IgREGpQwlfVbDU","Kya Coreisa Davis, Psychiatric Nurse Practitioner",5.0,11,Psychiatrist,"440 Knox Abbott Dr Suite 400, Cayce, SC 29033, United States","XWPV+CQ Cayce, South Carolina, USA",https://lifestance.com/provider/nurse-practitioner/sc/cayce/kya-davis/?utm_source=gmb&utm_medium=organic&utm_campaign=providers,+1 839-213-6429,Closed · Opens 9 am Tue,,https://lh3.googleusercontent.com/p/AF1QipM8GyQwlmY0Z7eH1-9kuILZhVfq10moXyUyUwPK=w427-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-12-16T00:40:40.252Z,
"https://www.google.com/maps/place/Maihan+Yazmine+Aurah,+Psychiatric+Nurse+Practitioner/data=!4m7!3m6!1s0x88f8bb0e1b26906b:0x87dc66a7c2f6cca6!8m2!3d33.9860425!4d-81.0554526!16s%2Fg%2F11v9vnxqmj!19sChIJa5AmGw67-IgRpsz2wqdm3Ic","Maihan Yazmine Aurah, Psychiatric Nurse Practitioner",4.7,38,Psychiatrist,"440 Knox Abbott Dr Suite 400, Cayce, SC 29033, United States","XWPV+CR Cayce, South Carolina, USA",https://lifestance.com/provider/nurse-practitioner/sc/cayce/maihan-aurah/?utm_source=gmb&utm_medium=organic&utm_campaign=providers,+1 839-213-6429,Closed · Opens 8:30 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipM0oBOf9U1aoA75YyhKNpFjwx-HH8SGxMgEPUvw=w427-h240-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-12-16T00:40:45.289Z,
https://www.google.com/maps/place/Three+Rivers+Behavioral+Health/data=!4m7!3m6!1s0x88f8bcd59d545071:0x42d6374e4e781466!8m2!3d34.0073285!4d-81.1181844!16s%2Fg%2F1tg3byz4!19sChIJcVBUndW8-IgRZhR4Tk431kI,Three Rivers Behavioral Health,2.1,530,Mental health clinic,"2900 Sunset Blvd, West Columbia, SC 29169, United States","2V4J+WP West Columbia, South Carolina, USA",https://threeriversbehavioral.org/,+1 803-796-9911,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwYLZj67ZgvQH7WNBvZqwAMi1hzWdPkyrzeiTI9THq91DmP6kgAtCd4m73vmSzzFDTSjrY9p1CX6yjb4VMb9_5dzzSW5PuohVNQ5cVA6b7Gu4zWc4J1TpyqSyF_Qr65ZoMv_QL0=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-12-16T00:40:50.913Z,
https://www.google.com/maps/place/Three+Rivers+Behavioral+Health+-+Midlands/data=!4m7!3m6!1s0x88f8bd0bc558842d:0xc1a5afc691e7b0ce!8m2!3d33.9704955!4d-81.1372375!16s%2Fg%2F1tk8pfrd!19sChIJLYRYxQu9-IgRzrDnkcavpcE,Three Rivers Behavioral Health - Midlands,2.0,73,Mental health clinic,"200 Ermine Rd, West Columbia, SC 29170, United States","XVC7+54 West Columbia, South Carolina, USA",https://threeriversmidlands.org/,+1 803-791-9918,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipM9Q6zG2bQldrsIlDvAgJj509sMhy0Zx1suXyEn=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-12-16T00:40:56.361Z,
https://www.google.com/maps/place/Carolina+Psychiatric+Svs+Pa/data=!4m7!3m6!1s0x88f8bcd1134a2909:0x74824d21669beac8!8m2!3d34.0025013!4d-81.1122974!16s%2Fg%2F1tdr44xt!19sChIJCSlKE9G8-IgRyOqbZiFNgnQ,Carolina Psychiatric Svs Pa,3.7,15,Doctor,"160 Medical Cir # 1, West Columbia, SC 29169, United States","2V3Q+23 West Columbia, South Carolina, USA",http://carolinapsychiatricservices.com/,+1 803-796-6811,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4YMOzjBzot9SmO2hYeY0iw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=330.39923&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-12-16T00:40:59.449Z,
https://www.google.com/maps/place/Future+Psych+Solutions/data=!4m7!3m6!1s0x88f8a4cdce2d695f:0x1a72393d3fe9315a!8m2!3d34.0091748!4d-81.0448322!16s%2Fg%2F113dydxnc!19sChIJX2ktzs2k-IgRWjHpPz05cho,Future Psych Solutions,4.6,297,Mental health clinic,"1911 Gadsden St #101, Columbia, SC 29201, United States","2X54+M3 Columbia, South Carolina, USA",https://www.futurepsychsolutions.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website,+1 803-335-5232,"Closed · Opens 9 am Tue

Confirmed by this business 9 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMJLZw6Tsdfu-QdtcRO50c26bo1s8mZuueXyDJ6=w426-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-12-16T00:41:04.527Z,true
https://www.google.com/maps/place/Pellicer+Counseling+LLC/data=!4m7!3m6!1s0x88f8af3a89108833:0x5c2c54b7bcba7a82!8m2!3d33.9917004!4d-81.0684631!16s%2Fg%2F11gw08c410!19sChIJM4gQiTqv-IgRgnq6vLdULFw,Pellicer Counseling LLC,4.8,49,Mental health service,"915 Shull St, West Columbia, SC 29169, United States","XWRJ+MJ West Columbia, South Carolina, USA",http://pellicercounseling.com/,+1 803-608-3257,Closed · Opens 10 am Tue,,https://lh3.googleusercontent.com/p/AF1QipPXE4Zd3CyX_1qcqPkoBJvbGNSTCi1VkhSg6Bym=w408-h272-k-no,true,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-12-16T00:41:09.425Z,
"https://www.google.com/maps/place/Patrick+Whitfield,+Psychiatric+Nurse+Practitioner/data=!4m7!3m6!1s0x88f8bb6e0e58055d:0xc91576deca6899bc!8m2!3d33.9860567!4d-81.0555911!16s%2Fg%2F11yk67375b!19sChIJXQVYDm67-IgRvJloyt52Fck","Patrick Whitfield, Psychiatric Nurse Practitioner",5.0,2,Psychiatrist,"440 Knox Abbott Dr Suite 400, Cayce, SC 29033, United States","XWPV+CQ Cayce, South Carolina, USA",https://lifestance.com/provider/nurse-practitioner/sc/cayce/patrick-whitfield/?utm_source=gmb&utm_medium=organic&utm_campaign=providers,+1 839-213-6429,"Closed · Opens 9 am Tue

Confirmed by this business 8 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipMPfR9FVmanQWbDKijycA5aH48n2-iWED1a4kcy=w427-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-12-16T00:41:14.287Z,
"https://www.google.com/maps/place/Jenkins+Simply+Said+Counseling+Service,+LLC/data=!4m7!3m6!1s0x88f8a54d3fdae7fb:0x930bc8de6e55779d!8m2!3d33.980551!4d-81.0657201!16s%2Fg%2F11gr69cp6d!19sChIJ--faP02l-IgRnXdVbt7IC5M","Jenkins Simply Said Counseling Service, LLC",5.0,20,Mental health service,"989 Knox Abbott Dr Ste 112, Cayce, SC 29033, United States","XWJM+6P Cayce, South Carolina, USA",http://jenkinssimplysaidcounseling.com/,+1 803-828-3100,Closed · Opens 10 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ET1EPJcfyvkZaYOEsdRkLw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=182.38095&pitch=0&thumbfov=100,true,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-12-16T00:41:19.175Z,
