placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned,attributes
https://www.google.com/maps/place/Black+Stone+Pain+Medicine+-+Portland/data=!4m7!3m6!1s0x549509fbc541ca59:0x5af0240b21187645!8m2!3d45.5294069!4d-122.6902124!16s%2Fg%2F11crzfscgx!19sChIJWcpBxfsJlVQRRXYYIQsk8Fo,Black Stone Pain Medicine - Portland,4.5,60,Medical clinic,"1849 NW Kearney St 2nd Floor, Portland, OR 97209, United States","G8H5+QW Portland, Oregon, USA",https://www.soundpainalliance.com/black-stone-pain-medicine/portland/,+1 503-477-5205,Open · Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipNOwtzTtm5j5ErWb1nZ-JZvZwTIfFltwgXNk_el=w923-h240-k-no,true,9 am–4 pm,9 am–4 pm,Closed,Closed,Closed,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-28T20:19:47.884Z,,,
"https://www.google.com/maps/place/OHSU+Comprehensive+Pain+Center,+South+Waterfront/data=!4m7!3m6!1s0x54950a6866955555:0x466da5ccc4330404!8m2!3d45.4984733!4d-122.6713956!16s%2Fg%2F1tf_m_z7!19sChIJVVWVZmgKlVQRBAQzxMylbUY","OHSU Comprehensive Pain Center, South Waterfront",2.4,61,Pain control clinic,"3303 S Bond Ave Building 1, 15th Floor, Portland, OR 97239, United States","F8XH+9C Portland, Oregon, USA",https://www.ohsu.edu/pain-center/ohsu-comprehensive-pain-center-south-waterfront?utm_source=gmb&utm_medium=organic&utm_content=ff4013e9-c252-5f03-94f7-489a4fbe1b20,+1 503-494-7246,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepKKa1FORCZ_OCbwSqu97i0_jv58d0lGYnGS-bh9Dd8eZDWjZZe31bKd_-WH4FVGRo_vvUMyLWvJcvyNRrXPyT7paULHjfcnLN0ZtZviWxSPZkkG0w9RC_m_WaPMseVlb_8rtZefw=w408-h307-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-28T20:19:54.066Z,,,
https://www.google.com/maps/place/Legacy+Pain+Management+Center+-+a+department+of+Legacy+Good+Samaritan+Medical+Center/data=!4m7!3m6!1s0x549509fabc753c5f:0x4399c328bf47f769!8m2!3d45.5310995!4d-122.6963027!16s%2Fg%2F1v75rm75!19sChIJXzx1vPoJlVQRafdHvyjDmUM,Legacy Pain Management Center - a department of Legacy Good Samaritan Medical Center,2.9,30,Pain control clinic,"Good Samaritan Bldg 3, 1130 NW 22nd Ave Ste 345, Portland, OR 97210, United States","G8J3+CF Portland, Oregon, USA",https://www.legacyhealth.org/doctors-and-locations/specialty/pain-management-center-good-sam,+1 503-413-7513,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipP6N05qhpsvsVeQ9omvLJrmwl2IovXX5AKvxSTW=w408-h273-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-28T20:19:58.983Z,LGBTQ+ friendly,,
"https://www.google.com/maps/place/Shorin+Nemeth,+DO/data=!4m7!3m6!1s0x5495a1019ed49503:0xe2f1589c1730fb90!8m2!3d45.5310995!4d-122.6963027!16s%2Fg%2F11s4tcbhz9!19sChIJA5XUngGhlVQRkPswF5xY8eI","Shorin Nemeth, DO",5.0,1,Pain management physician,"1130 NW 22nd Ave Good Samaritan Bldg 3, Ste 345, Portland, OR 97210, United States","G8J3+CF Portland, Oregon, USA",https://www.legacyhealth.org/providers/shorin-nemeth,+1 503-413-7513,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNIWf5-1ldXRvPs4qlMs_vXYynN9IqnXTLq0Dc_=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-28T20:20:03.851Z,,,
https://www.google.com/maps/place/Rogue+Chiropractors+and+Spine+Center/data=!4m7!3m6!1s0x5495097774f56d53:0xb31edd86e81e62ee!8m2!3d45.5300059!4d-122.703226!16s%2Fg%2F11s1941kbw!19sChIJU231dHcJlVQR7mIe6IbdHrM,Rogue Chiropractors and Spine Center,5.0,124,Chiropractor,"2525 NW Lovejoy St #101, Portland, OR 97210, United States","G7JW+2P Portland, Oregon, USA",https://www.roguespinecenter.com/,+1 503-746-9926,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipPFHwc7SAK0-0g4w0fcu4OLC-Lj0HqETa9Se7NY=w408-h264-k-no,true,9 am–6 pm,9 am–6 pm,Closed,Closed,Closed,9 am–6 pm,2–6 pm,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-28T20:20:08.667Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Compass+Pain+and+Wellness/data=!4m7!3m6!1s0x54950b1f1c9b5e43:0xd035f9bdc529119c!8m2!3d45.5170961!4d-122.6889037!16s%2Fg%2F11wth1p1bk!19sChIJQ16bHB8LlVQRnBEpxb35NdA,Compass Pain and Wellness,5.0,58,Pain management physician,"1410 SW Jefferson St, Portland, OR 97201, United States","G886+RC Portland, Oregon, USA",https://compasspainandwellness.com/?utm_campaign=gmb,+1 503-476-1617,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipN20JFEDqc6ef8iSFgZuoERS9JNkMK35wti7Zdi=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-28T20:20:13.686Z,,,
https://www.google.com/maps/place/Portland+Shockwave+Therapy/data=!4m7!3m6!1s0x5495a10461395125:0x1e3d442214dc012b!8m2!3d45.534761!4d-122.6442732!16s%2Fg%2F11vy5v1mfl!19sChIJJVE5YQShlVQRKwHcFCJEPR4,Portland Shockwave Therapy,5.0,21,Medical clinic,"2100 NE Broadway Suite #225, Portland, OR 97232, United States","G9M4+W7 Portland, Oregon, USA",https://painpdx.com/,+1 503-719-5000,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipPz-9HK87zeVvrK5MFd7rvlta7-Kk38Fpev1fa1=w408-h287-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-28T20:20:18.750Z,LGBTQ+ friendly,,
"https://www.google.com/maps/place/OHSU+Facial+Pain+Clinic,+South+Waterfront/data=!4m7!3m6!1s0x54950a686450eec3:0x5e98977337733ad!8m2!3d45.4988837!4d-122.6713289!16s%2Fg%2F11btwkdf08!19sChIJw-5QZGgKlVQRrTN3M3eJ6QU","OHSU Facial Pain Clinic, South Waterfront",1.0,1,Medical clinic,"3303 SW Bond Ave Center for Health and Healing Building 1, Portland, OR 97239, United States","F8XH+HF Portland, Oregon, USA",https://www.ohsu.edu/brain-institute/facial-pain-trigeminal-neuralgia/?utm_source=gmb&utm_medium=organic&utm_content=69c21979-3ec0-5de7-808c-49bee20bba5b,+1 503-494-4314,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqGkqS1izObpR3GofeS4kdD0RMEswxg93rdoGNW4nlPTIF3vx5Zbg62On6nkfTVEybPlWylgdU_zGpIWwLvfi8eF7lqBt19Z5haUJQeXFN9gIKGbuY_M5M94RGdu5JA-Ks31Iv5=w408-h307-k-no,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-28T20:20:23.513Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Chase+Gentry/data=!4m7!3m6!1s0x54950b4912b86d35:0x7ece2e5f4c4f95b!8m2!3d45.5169694!4d-122.6887456!16s%2Fg%2F11x0gz02pc!19sChIJNW24EkkLlVQRW_nE9OXi7Ac,Chase Gentry,,,Pain management physician,"1410 SW Jefferson St, Portland, OR 97201, United States","G886+QG Portland, Oregon, USA",https://compasspainandwellness.com/,+1 503-946-9704,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IfywkvjdHEBmowkhC-b0Ww&cb_client=search.gws-prod.gps&w=408&h=240&yaw=176.07594&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-28T20:20:28.174Z,,,
"https://www.google.com/maps/place/Thomas+Schrattenholzer,+MD/data=!4m7!3m6!1s0x549509fabc753c5f:0xa29d6ed69e8762bf!8m2!3d45.5309335!4d-122.6958263!16s%2Fg%2F1tfcn148!19sChIJXzx1vPoJlVQRv2KHntZunaI","Thomas Schrattenholzer, MD",3.5,8,Pain management physician,"Good Samaritan Bldg 3, 1130 NW 22nd Ave Ste 345, Portland, OR 97210, United States","G8J3+9M Portland, Oregon, USA",https://www.legacyhealth.org/providers/thomas-schrattenholzer,+1 503-413-7513,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPUzGeqNrGyavk5xkUUCnrmN6isVCNItwj5s_0q=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-28T20:20:33.052Z,,,
