placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,error,attributes
"https://www.google.com/maps/place/Marshfield+Medical+Center-Eau+Claire+Medical+Offices-Pediatrics/@44.7964315,-91.5210137,17z/data=!3m1!4b1!4m6!3m5!1s0x87f8973511464789:0x59f928e107dbbe02!8m2!3d44.7964315!4d-91.5210137!16s%2Fg%2F11vw_jhr14",Marshfield Medical Center-Eau Claire Medical Offices-Pediatrics,4.4,15,Medical clinic,"2116 Craig Rd, Eau Claire, WI 54701, United States","QFWH+HH Eau Claire, Wisconsin, USA",https://www.marshfieldclinic.org/locations/eau-claire-marshfield-medical-center/eau-claire-outpatient-services,+1 715-858-4900,Open · Closes 8 pm,,true,7:30 am–8 pm,7:30 am–7 pm,7:30 am–7 pm,8 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-02-10T21:55:03.176Z,,,
https://www.google.com/maps/place/OakLeaf+Clinics+-+Oakleaf+Pediatrics/data=!4m7!3m6!1s0x87f8bd86ed303bc1:0x727748e5a99e081a!8m2!3d44.7868669!4d-91.5083823!16s%2Fg%2F1tgcsf_l!19sChIJwTsw7Ya9-IcRGgieqeVId3I,OakLeaf Clinics - Oakleaf Pediatrics,4.0,25,Medical clinic,"3131 Stein Blvd, Eau Claire, WI 54701, United States","QFPR+PJ Eau Claire, Wisconsin, USA",https://www.oakleafclinics.com/location.phtml/oakleaf_pediatrics/,+1 715-830-0732,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPaoB8s67KqWBpOtqVq_Of31uPPLQvvbR5BSl2W=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-02-10T21:55:07.766Z,,,
https://www.google.com/maps/place/Julia+Kyle+MD/data=!4m7!3m6!1s0x87f8bd877cdd48d5:0x6a64626e28d64759!8m2!3d44.7923414!4d-91.4926551!16s%2Fg%2F1v75sgmt!19sChIJ1UjdfIe9-IcRWUfWKG5iZGo,Julia Kyle MD,4.3,4,Pediatrician,"431 E Clairemont Ave Ste D, Eau Claire, WI 54701, United States","QGR4+WW Eau Claire, Wisconsin, USA",https://www.confluence-healthcare.com/,+1 715-828-9060,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOb-aAw8WwA6AWDjidbr3J1QOq2LWQjcyRYNtz8=w506-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-02-10T21:55:12.519Z,Identifies as women-owned,,
https://www.google.com/maps/place/Smiles+In+Motion/data=!4m7!3m6!1s0x87f8bc0a35a95f69:0x817d00ac22e9e958!8m2!3d44.7815929!4d-91.445741!16s%2Fg%2F11c1vmsxsq!19sChIJaV-pNQq8-IcRWOnpIqwAfYE,Smiles In Motion,4.9,301,Pediatric dentist,"3402 Oakwood Mall Dr Ste 201, Eau Claire, WI 54701, United States","QHJ3+JP Eau Claire, Wisconsin, USA",https://www.sim4kids.com/things-to-know/locations/eau-claire-pediatric-dentistry-office/,+1 715-723-2000,Closes soon · 4 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipNnLER2rHLSo6nLuht0f7vCKmM1_-2gehRQT9VN=w408-h272-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,"https://www.google.com/maps/search/pediatrician+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-02-10T21:55:16.907Z,,,
https://www.google.com/maps/place/Plewa+John+J+MD/data=!4m7!3m6!1s0x87f8bd9055555555:0xd28e05308a54e588!8m2!3d44.7925022!4d-91.5083067!16s%2Fg%2F11h6rx_hg_!19sChIJVVVVVZC9-IcRiOVUijAFjtI,Plewa John J MD,5.0,1,Pediatrician,"733 W Clairemont Ave, Eau Claire, WI 54701, United States","QFVR+2M Eau Claire, Wisconsin, USA",https://mayoclinichealthsystem.org/providers/john-plewa-md,+1 715-838-5437,Closes soon · 4:30 pm · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=i6GbFvUBsFQejbB_vWq8ew&cb_client=search.gws-prod.gps&w=408&h=240&yaw=307.68317&pitch=0&thumbfov=100,false,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,"https://www.google.com/maps/search/pediatrician+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-02-10T21:55:21.189Z,,,
https://www.google.com/maps/place/Mayo+Clinic+Health+System+-+Eau+Claire/data=!4m7!3m6!1s0x87f8bd7ad78e347f:0x450b03c833235191!8m2!3d44.8121511!4d-91.5129161!16s%2Fg%2F1tf6ms5k!19sChIJfzSO13q9-IcRkVEjM8gDC0U,Mayo Clinic Health System - Eau Claire,3.2,209,Hospital,"1221 Whipple St, Eau Claire, WI 54703, United States","RF6P+VR Eau Claire, Wisconsin, USA",http://mayoclinichealthsystem.org/locations/eau-claire?mc_id=&utm_source=yext&utm_medium=l&utm_content=eauclaireluthergeneral&utm_campaign=mchsmarketing&geo=eauclaire&placementsite=nwwi&invsrc=mchsnwwi&cauid=110704&y_source=1_MzkxODExMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 715-838-3311,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer1RFfrPyhEluR3oZtkJRSxw4Ag80mzjqo5I-vl6DPIBsmn9OAGrsFMyO4q_ruZFfcA76qfBaLSpU413XlZPkPly_XJB8yaahvUrtpzr9YEIkVlMnxQooDOFSGj32C4aQMEEG8=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-02-10T21:55:25.588Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Mayo+Clinic+Health+System+-+Eau+Claire+Clairemont+Campus/data=!4m7!3m6!1s0x87f8bd90c190c4c9:0xba5355cd67d4e407!8m2!3d44.7925035!4d-91.5076681!16s%2Fg%2F1tld0r9r!19sChIJycSQwZC9-IcRB-TUZ81VU7o,Mayo Clinic Health System - Eau Claire Clairemont Campus,3.3,75,Medical clinic,"Clairemont Campus, 733 W Clairemont Ave, Eau Claire, WI 54701, United States","QFVR+2W Eau Claire, Wisconsin, USA",http://mayoclinichealthsystem.org/locations/eau-claire?mc_id=&utm_source=yext&utm_medium=l&utm_content=eauclaireclairemontgeneral&utm_campaign=mchsmarketing&geo=eauclaire&placementsite=nwwi&invsrc=mchsnwwi&cauid=110703&y_source=1_MzkxODEwOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 715-838-5222,Open · Closes 5:15 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerc3ObmyGXOGvJg64EcauLqGy3i9jJcB4VMcdNdKVbAaBEQunFT9rrpSJ6a0tep2pubT1UzzVdRTs-JrI5jTUfgxwMPE4vBG1FfoD2oxrHael4lCVi67UT-tsgOkfHbqoSSgt3FUw=w408-h306-k-no,true,8 am–5:15 pm,8 am–5:15 pm,8 am–5:15 pm,8 am–5:15 pm,Closed,Closed,8 am–5:15 pm,"https://www.google.com/maps/search/pediatrician+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-02-10T21:55:29.900Z,LGBTQ+ friendly,,
"https://www.google.com/maps/place/Dr.+Naghma+Husain,+MD/@44.7965734,-91.5207873,17z/data=!3m1!4b1!4m6!3m5!1s0x87f8bd877cdd48d5:0x75064648141c00b6!8m2!3d44.7965734!4d-91.5207873!16s%2Fg%2F1tdx97zs","Dr. Naghma Husain, MD",5.0,2,Pediatrician,"2116 Craig Rd, Eau Claire, WI 54701, United States","QFWH+JM Eau Claire, Wisconsin, USA",,+1 715-858-4900,,,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-02-10T21:55:34.168Z,,,
https://www.google.com/maps/place/Confluence+Healthcare/data=!4m7!3m6!1s0x87f8bdb1834d153d:0x4f9df2c2b67fbba9!8m2!3d44.7923414!4d-91.4926551!16s%2Fg%2F11jcmq9zm5!19sChIJPRVNg7G9-IcRqbt_tsLynU8,Confluence Healthcare,4.5,8,Medical clinic,"431 E Clairemont Ave Ste D, Eau Claire, WI 54701, United States","QGR4+WW Eau Claire, Wisconsin, USA",https://www.confluence-healthcare.com/,+1 715-828-9060,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOvPKwKLj1VTabUstWLvubOuezFY1Jx_kZaqPMs=w506-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-02-10T21:55:38.570Z,,,
"https://www.google.com/maps/place/Dr.+John+P.+Layde,+MD/data=!4m7!3m6!1s0x87f8bd90c190c4c9:0x8c2884b217c35f9f!8m2!3d44.7924497!4d-91.5081935!16s%2Fg%2F1vlk23qx!19sChIJycSQwZC9-IcRn1_DF7KEKIw","Dr. John P. Layde, MD",5.0,1,Pediatrician,"733 W Clairemont Ave, Eau Claire, WI 54701, United States","QFRR+XP Eau Claire, Wisconsin, USA",http://mayoclinichealthsystem.org/,+1 715-838-5222,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=i6GbFvUBsFQejbB_vWq8ew&cb_client=search.gws-prod.gps&w=408&h=240&yaw=308.46497&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-02-10T21:55:40.801Z,,,
