placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,isBlackOwned
https://www.google.com/maps/place/Atrium+Health+Wake+Forest+Baptist+Pediatrics+-+Quaker+Lane/data=!4m7!3m6!1s0x88530933fb17e06f:0x53870698b24bd24f!8m2!3d35.96178!4d-80.0174019!16s%2Fg%2F11bc7rmq54!19sChIJb-AX-zMJU4gRT9JLspgGh1M,Atrium Health Wake Forest Baptist Pediatrics - Quaker Lane,3.6,63,Pediatrician,"624 Quaker Ln Ste 200D, High Point, NC 27262, United States","XX6M+P2 High Point, North Carolina, USA",https://www.wakehealth.edu/locations/clinics/p/pediatrics-quaker-lane?utm_source=GMB&utm_medium=Organic&utm_campaign=AHWFB,+1 336-878-6101,Closes soon · 5:30 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AHVAweorNenhpIrsP4ILfCrQLC1aktGXoMLTDWfgdy5ltATg2QCec1mEox1uH26b-IeQq5s6z6XNO_6dKY5fRi2B8KI4QBmUmpXT251D7Z0fZifE2V-a2sBQ3_PBR7W3e3-oY0S-riJ7=w408-h725-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5 pm,Closed,Closed,8 am–5:30 pm,"https://www.google.com/maps/search/pediatrician+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-10T22:15:55.059Z,,
https://www.google.com/maps/place/High+Point+Pediatrics/data=!4m7!3m6!1s0x88530933f14500c9:0x3b8ffb354e3e319a!8m2!3d35.9607628!4d-80.0139292!16s%2Fg%2F1tf9nz9s!19sChIJyQBF8TMJU4gRmjE-TjX7jzs,High Point Pediatrics,4.3,175,Pediatrician,"404 W Westwood Ave #103, High Point, NC 27262, United States","XX6P+8C High Point, North Carolina, USA",https://www.highpointpediatrics.com/,+1 336-889-6564,Closed · Opens 8:30 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3ZQhv2kYHyf9H1OH0HhsWw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=275.2156&pitch=0&thumbfov=100,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,9 am–1 pm,Closed,8:30 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-10T22:16:00.590Z,,
https://www.google.com/maps/place/Cornerstone+Pediatrics/data=!4m7!3m6!1s0x885309667754143f:0x6ebb31060840f8f1!8m2!3d35.9439185!4d-80.0365937!16s%2Fg%2F1tdn4t4l!19sChIJPxRUd2YJU4gR8fhACAYxu24,Cornerstone Pediatrics,3.9,12,Medical clinic,"1814 Westchester Dr # 203, High Point, NC 27262, United States","WXV7+H9 High Point, North Carolina, USA",http://www.cornerstonehealth.com/,+1 336-802-2100,Closes soon · 6 pm · Opens 8:30 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=k4hr6Xz8zoska1avD87g7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=275.70447&pitch=0&thumbfov=100,true,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,9:30 am–12:30 pm,1–4 pm,8:30 am–6 pm,"https://www.google.com/maps/search/pediatrician+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-10T22:16:05.697Z,,
https://www.google.com/maps/place/Novant+Health+Pediatrics+Oak+Hollow/data=!4m7!3m6!1s0x885309d28e6d9d35:0xfd983d0c9bb35014!8m2!3d35.9951365!4d-79.995295!16s%2Fg%2F11ghft2msy!19sChIJNZ1tjtIJU4gRFFCzmww9mP0,Novant Health Pediatrics Oak Hollow,4.5,44,Child health care center,"1224 Eastchester Dr, High Point, NC 27265, United States","X2W3+3V High Point, North Carolina, USA",https://www.novanthealth.org/locations/clinics/pediatrics-oak-hollow/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-273,+1 336-481-1830,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqxyLidsc0rqDENO2O_bQLm8RMEsXjdh6dJv6GHSvSocDxLDJRvnp9Akp4HQd3sI0ohjDdvj8AzVZQPsSwTg-kbIEhZJlZGcuM3uxuTD91g7DDzWI24FhlPT-vh8Ebydy2YFwLU=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–12 pm,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-10T22:16:10.634Z,,
"https://www.google.com/maps/place/Dr.+Robert+A.+Poth/@35.9623419,-80.0168287,17z/data=!3m1!4b1!4m6!3m5!1s0x88530933fb17e06f:0x39e5dbc0405dc91b!8m2!3d35.9623419!4d-80.0168287!16s%2Fg%2F11c585k5sf",Dr. Robert A. Poth,5.0,10,Pediatrician,"D, 624 Quaker Ln #200, High Point, NC 27262, United States","XX6M+W7 High Point, North Carolina, USA",http://www.regionalphysicians.com/,+1 336-878-6101,,,true,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-10T22:16:15.257Z,,
https://www.google.com/maps/place/Triad+Adult+%26+Pediatric+Medicine+-+Family+Medicine+at+Elm/data=!4m7!3m6!1s0x88530ec86ec77b21:0x7539244eebb86d10!8m2!3d35.9632521!4d-80.0119675!16s%2Fg%2F11bbwp1m_y!19sChIJIXvHbsgOU4gREG24604kOXU,Triad Adult & Pediatric Medicine - Family Medicine at Elm,3.7,56,Medical clinic,"606 N Elm St, High Point, NC 27262, United States","XX7Q+86 High Point, North Carolina, USA",http://www.tapmedicine.com/,+1 336-884-0224,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqzcZ1J8uv8ctVA5C3cWXtwMd8AOLoU6o1AvkL1GumUJf-rHRivHx_6zDguynZ3Q8eZHJCls6AUR5gcaxrhyoxaHnXK-cpSGQplE6_G0qN8qKAvGLVw6OTwHYPW1Thz214KyMX8=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-10T22:16:20.295Z,,
"https://www.google.com/maps/place/LeKeishia+Michelle+Staton,+CPNP-PC/data=!4m7!3m6!1s0x88530962f735ac0f:0x29122078f4558d32!8m2!3d35.9616237!4d-80.0170586!16s%2Fg%2F11tjcyqnwt!19sChIJD6w192IJU4gRMo1V9HggEik","LeKeishia Michelle Staton, CPNP-PC",4.9,15,Doctor,"624 Quaker Ln Ste 200D, High Point, NC 27262, United States","XX6M+J5 High Point, North Carolina, USA",https://www.wakehealth.edu/providers/s/lekeishia-staton?utm_source=GMB&utm_medium=Organic&utm_campaign=AHWFBprovider,+1 336-878-6101,Closes soon · 5:30 pm · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2KEJiuNfsx9epic9djoJnw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=10.477033&pitch=0&thumbfov=100,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5 pm,Closed,Closed,8 am–5:30 pm,"https://www.google.com/maps/search/pediatrician+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-10T22:16:24.990Z,,
https://www.google.com/maps/place/Atrium+Health+Wake+Forest+Baptist+Pediatrics+-+Premier/data=!4m7!3m6!1s0x8853056d2d1e1579:0xc9abb121f130ad5d!8m2!3d36.0355127!4d-79.9497581!16s%2Fg%2F113dpybm_!19sChIJeRUeLW0FU4gRXa0w8SGxq8k,Atrium Health Wake Forest Baptist Pediatrics - Premier,4.1,87,Pediatrician,"4515 Premier Dr Suite #203, High Point, NC 27265, United States","23P2+63 High Point, North Carolina, USA",https://www.wakehealth.edu/locations/clinics/p/pediatrics-premier?utm_source=GMB&utm_medium=Organic&utm_campaign=AHWFB,+1 336-802-2200,Closes soon · 5:30 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerygvf_raD_4-yvNrIfwonOanHVlQ0GRctIiRsBr1_EuLgbHX7V75kr05vNuhFqG3QTq0yS21_8TRMreBvFSrEhDBZjRwWf-SEJCrXNCf2ZWqa_RHRYoJ4Bvu5bRDdmfcxyOldhlg=w408-h306-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,8 am–5:30 pm,"https://www.google.com/maps/search/pediatrician+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-10T22:16:30.048Z,,
"https://www.google.com/maps/place/Mary+Allison+Hudson,+MD/data=!4m7!3m6!1s0x88530f2df0a775c5:0x15aff91ae9fc6f8d!8m2!3d35.994641!4d-79.9946645!16s%2Fg%2F11fjwdrvn_!19sChIJxXWn8C0PU4gRjW_86Rr5rxU","Mary Allison Hudson, MD",5.0,16,Pediatrician,"1224 Eastchester Dr, High Point, NC 27265, United States","X2V4+V4 High Point, North Carolina, USA",https://www.novanthealth.org/pf/providers/1538106729?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=1538106729,+1 336-481-1830,Closed · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mC9JGLxD1VrUtOok8xmjyg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=111.841385&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–12 pm,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-10T22:16:34.975Z,,
"https://www.google.com/maps/place/High+Point+Pediatrics/@35.962324,-80.0167416,17z/data=!3m1!4b1!4m6!3m5!1s0x885309311b6c0c0d:0x688f3472f2facc6c!8m2!3d35.962324!4d-80.0167416!16s%2Fg%2F11c1wy1590",High Point Pediatrics,,,Pediatrician,"399 Boulevard St, High Point, NC 27262, United States","XX6M+W8 High Point, North Carolina, USA",https://highpointpediatrics.com/,+1 336-878-6101,,,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+High+Point+NC/@35.9556923,-80.0053176,14z",2026-02-10T22:16:39.447Z,,
