placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,error,attributes
https://www.google.com/maps/place/Vero+Beach+Pediatrics/data=!4m7!3m6!1s0x88de5ff7389e9ad1:0x2d1de3fd974d88b5!8m2!3d27.6609578!4d-80.3916245!16s%2Fg%2F11syfpgctq!19sChIJ0ZqeOPdf3ogRtYhNl_3jHS0,Vero Beach Pediatrics,5.0,333,Pediatrician,"959 37th Pl, Vero Beach, FL 32960, United States","MJ65+99 Vero Beach, Florida, USA",https://verobeachpediatrics.com/,+1 772-569-3212,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipNscl7CQ0_eJGu4qjAaTDV8P6rVElRxXY4S0HFf=w426-h240-k-no,true,"8 am–12 pm, 1–5 pm","8 am–12 pm, 1–5 pm","8 am–12 pm, 1–5 pm","8 am–12 pm, 1–5 pm",Closed,Closed,"8 am–12 pm, 1–5 pm","https://www.google.com/maps/search/pediatrician+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2026-02-10T22:33:11.322Z,,,
https://www.google.com/maps/place/Treasure+Coast+Pediatrics/data=!4m7!3m6!1s0x88de5eecadd29b97:0xfe58389474a86c5a!8m2!3d27.6618694!4d-80.3945535!16s%2Fg%2F1tf7nckj!19sChIJl5vSrexe3ogRWmyodJQ4WP4,Treasure Coast Pediatrics,5.0,23,Pediatrician,"3745 11th Cir STE 108, Vero Beach, FL 32960, United States","MJ64+P5 Vero Beach, Florida, USA",http://www.treasurecoastpediatricsfl.com/,+1 772-567-1552,Closed · Opens 8:30 am Wed,https://lh3.googleusercontent.com/p/AF1QipO6cdqv2RXByirDuqmoYS62EdvVq0RXo3YcD4_M=w408-h408-k-no,true,8:30 am–4 pm,8:30 am–4 pm,8:30 am–4 pm,8:30 am–12:30 pm,Closed,Closed,8:30 am–4 pm,"https://www.google.com/maps/search/pediatrician+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2026-02-10T22:33:16.931Z,,,
https://www.google.com/maps/place/AdventHealth+Medical+Group+Pediatrics+at+Vero+Beach/data=!4m7!3m6!1s0x88de5e94af479d7f:0x639c6d252c8cbfae!8m2!3d27.6593472!4d-80.3879797!16s%2Fg%2F11bw65ykjf!19sChIJf51Hr5Re3ogRrr-MLCVtnGM,AdventHealth Medical Group Pediatrics at Vero Beach,4.2,5,Pediatrician,"787 37th St e170, Vero Beach, FL 32960, United States","MJ56+PR Vero Beach, Florida, USA",,+1 772-569-3212,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dyuvG1rmXCAAU5HjkMxtHg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=182.12552&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2026-02-10T22:33:20.230Z,,,
"https://www.google.com/maps/place/Nemours+Children%27s+Health,+Vero+Beach+-+Primary+%26+Specialty+Care/data=!4m7!3m6!1s0x88de5e9531dd4a41:0x498bb251b1048a03!8m2!3d27.656016!4d-80.3965386!16s%2Fg%2F11fx_3gxrh!19sChIJQUrdMZVe3ogRA4oEsVGyi0k","Nemours Children's Health, Vero Beach - Primary & Specialty Care",4.2,73,Pediatrician,"1155 35th Ln Suite 201A, Vero Beach, FL 32960, United States","MJ43+C9 Vero Beach, Florida, USA",https://www.nemours.org/locations/florida-primary-care-pediatrician-vero-beach.html?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-listing,+1 772-562-5662,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipPvYWB2Lqqis5J5FxpcAb3a2_K63tXGGKJ_pEQQ=w408-h269-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2026-02-10T22:33:25.320Z,,,
https://www.google.com/maps/place/Whole+Family+Pediatrics/data=!4m7!3m6!1s0x88de5f71e68b53a5:0xbd8a57dc1ee63506!8m2!3d27.6618169!4d-80.3901101!16s%2Fg%2F11y0pn67lc!19sChIJpVOL5nFf3ogRBjXmHtxXir0,Whole Family Pediatrics,,,Child health care center,"840A 37th Pl, Vero Beach, FL 32960, United States","MJ65+PX Vero Beach, Florida, USA",https://wfhcfl.org/services/pediatric-primary-care/,+1 772-918-9300,Closes soon · 6 pm · Opens 7:30 am Wed,https://lh3.googleusercontent.com/p/AF1QipOcBYoAkdwjxxTgZgNS9_558Im8tRiYMNN_fcT7=w408-h291-k-no,true,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,7:30 am–5 pm,Closed,Closed,7:30 am–6 pm,"https://www.google.com/maps/search/pediatrician+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2026-02-10T22:33:29.928Z,,,
https://www.google.com/maps/place/Seaside+Smiles+Pediatric+Dentistry/data=!4m7!3m6!1s0x88de5e92cbcd08e3:0x4a0b7c872ea961a3!8m2!3d27.6617248!4d-80.3980313!16s%2Fg%2F1tfxyvpr!19sChIJ4wjNy5Je3ogRo2GpLod8C0o,Seaside Smiles Pediatric Dentistry,4.9,1248,Pediatric dentist,"3725 12th Ct B, Vero Beach, FL 32960, United States","MJ62+MQ Vero Beach, Florida, USA",https://www.seasidesmiles.com/,+1 772-562-6880,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipNaH-NTAxd_Cl-lpDJIVo2PllDAyPhIsLDeg-FU=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–3 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2026-02-10T22:33:35.387Z,,,
https://www.google.com/maps/place/Treasure+Coast+Community+Health+%7CTCCH+%7C+Central+%7C+Medical/data=!4m7!3m6!1s0x88de5f1895db55ab:0x6f567f388201f673!8m2!3d27.6308198!4d-80.3909697!16s%2Fg%2F11bwc5g_5g!19sChIJq1XblRhf3ogRc_YBgjh_Vm8,Treasure Coast Community Health |TCCH | Central | Medical,4.9,155,Medical Center,"1553 US-1, Vero Beach, FL 32960, United States","JJJ5+8J Vero Beach, Florida, USA",http://www.tcchinc.org/,+1 772-257-8224,Closed · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fYpS-AHB7hu67vMm7wdQLA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=356.11707&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2026-02-10T22:33:40.281Z,,,
"https://www.google.com/maps/place/Karen+Ruth+Westberry,+MD/data=!4m7!3m6!1s0x88de5f99186e564b:0xe326a50c4cadfbb4!8m2!3d27.656016!4d-80.3965386!16s%2Fg%2F11j5h54lnd!19sChIJS1ZuGJlf3ogRtPutTAylJuM","Karen Ruth Westberry, MD",5.0,7,Pediatrician,"1155 35th Ln Suite 201A, Vero Beach, FL 32960, United States","MJ43+C9 Vero Beach, Florida, USA",https://www.nemours.org/find-a-doctor/23736-karen-westberry-primary-care-vero-beach.html?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-listing,+1 772-562-5662,,https://lh3.googleusercontent.com/p/AF1QipPWMUCpuuelaHTd-NArBLRPgHOIXiYTuWe9golL=w408-h408-k-no,true,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2026-02-10T22:33:43.458Z,,,
"https://www.google.com/maps/place/Lacey+Vatland,+APRN/data=!4m7!3m6!1s0x88de5ff893ace97b:0x5ac8d582afbef1b2!8m2!3d27.6560371!4d-80.3965421!16s%2Fg%2F11vxl_ztpf!19sChIJe-msk_hf3ogRsvG-r4LVyFo","Lacey Vatland, APRN",5.0,2,Pediatrician,"1155 35th Ln Suite 201A, Vero Beach, FL 32960, United States","MJ43+C9 Vero Beach, Florida, USA",https://www.nemours.org/find-a-doctor/57772-lacey-vatland-primary-care-vero-beach.html,+1 772-562-5662,Closed · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=z3ez3XBxRj_jNrdYL-hg1Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=183.791&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2026-02-10T22:33:48.297Z,,,
https://www.google.com/maps/place/Dr.+Arleene+Sepulveda/data=!4m7!3m6!1s0x88de018c9af506f3:0x1b12707c6113d198!8m2!3d27.6618373!4d-80.3945165!16s%2Fg%2F11sc_y_2qw!19sChIJ8wb1mowB3ogRmNETYXxwEhs,Dr. Arleene Sepulveda,5.0,2,General practitioner,"3745 11th Cir STE 108, Vero Beach, FL 32960, United States","MJ64+P5 Vero Beach, Florida, USA",,+1 321-639-5177,Closed · Opens 9 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pvomlXoirg0PN9CYn45cNA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=318.08423&pitch=0&thumbfov=100,false,9 am–4 pm,9 am–4 pm,8 am–4 pm,9 am–1 pm,Closed,Closed,9 am–4 pm,"https://www.google.com/maps/search/pediatrician+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2026-02-10T22:33:53.089Z,,,
https://www.google.com/maps/place/Nickel+Pediatric+Dentistry/data=!4m7!3m6!1s0x88de5fe55b9c3d2b:0xa1bf1256b528569f!8m2!3d27.6410222!4d-80.3812545!16s%2Fg%2F11tn5fjht0!19sChIJKz2cW-Vf3ogRn1YotVYSv6E,Nickel Pediatric Dentistry,5.0,409,Pediatric dentist,"2145 Indian River Blvd Suite B, Vero Beach, FL 32960, United States","JJR9+CF Vero Beach, Florida, USA",https://veropediatricdentistry.com/,+1 772-494-6010,Closed · Opens 8:30 am Wed,https://lh3.googleusercontent.com/p/AF1QipNeLUWUkwW-WqNlZg4wmMF0iI-nWGE6Ps4J2JZK=w408-h612-k-no,true,8:30 am–5 pm,8:30 am–5 pm,7:20 am–2 pm,8 am–1 pm,Closed,Closed,8:30 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2026-02-10T22:33:58.095Z,,,
https://www.google.com/maps/place/Revere+Medical+-+Vero+Beach+Family+Medicine/data=!4m7!3m6!1s0x88de5eed23e1455f:0x96e3798b03620248!8m2!3d27.6618328!4d-80.3941726!16s%2Fg%2F113fdtqgd!19sChIJX0XhI-1e3ogRSAJiA4t545Y,Revere Medical - Vero Beach Family Medicine,4.7,250,Family practice physician,"3745 11th Cir Suite 105, Vero Beach, FL 32960, United States","MJ64+P8 Vero Beach, Florida, USA",https://www.reveremedical.com/locations/vero-primary-care,+1 772-564-2485,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqY0Tpii6d876z2mmzThQNbJUfOcs2u7qbm4M6Ly-EVQCSeimjMBHK1PagHRmiMRIMrZpBZPM-s4GLlU8I-teWZmwI4JuBSGpzicHg4-2RDI3Jm9V2adVENuJ2bgT14RRFCvi3U=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–3 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2026-02-10T22:34:02.928Z,,,
"https://www.google.com/maps/place/Clayton+Williams,+MD/data=!4m7!3m6!1s0x88de5ef3414f28d5:0x9b2f59b7fe577c22!8m2!3d27.6619038!4d-80.3945594!16s%2Fg%2F11dynrl2tr!19sChIJ1ShPQfNe3ogRInxX_rdZL5s","Clayton Williams, MD",4.9,227,Family practice physician,"3745 11th Cir STE 103, Vero Beach, FL 32960, United States","MJ64+Q5 Vero Beach, Florida, USA",https://providers.steward.org/s/affiliation/a0d4z00000ds30ZAAQ,+1 772-778-1400,,https://lh3.googleusercontent.com/p/AF1QipNTHCbXYd8RaDvoe_01PP5cSmWQ4rxd-LvZYw_Z=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2026-02-10T22:34:05.703Z,,,
https://www.google.com/maps/place/Dermody+Pediatric+Dentistry+%26+Orthodontics/data=!4m7!3m6!1s0x88de5fad5ea672ad:0x52cc92b639a4883c!8m2!3d27.6389!4d-80.4210454!16s%2Fg%2F1tzvxcr6!19sChIJrXKmXq1f3ogRPIikObaSzFI,Dermody Pediatric Dentistry & Orthodontics,3.5,130,Pediatric dentist,"2000 35th Ave, Vero Beach, FL 32960, United States","JHQH+HH Vero Beach, Florida, USA",https://www.dermodydental.com/,+1 772-562-5150,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipMW9GO4EqAs7JdMC5o33cC_XTN9i7nqEohfgW82=w408-h291-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2026-02-10T22:34:10.638Z,,,
https://www.google.com/maps/place/Vero+Orthopaedics/data=!4m7!3m6!1s0x88de5eedd33c48a3:0x3caf8f66b8e17127!8m2!3d27.665081!4d-80.3922653!16s%2Fg%2F1tfbz8gh!19sChIJo0g80-1e3ogRJ3HhuGaPrzw,Vero Orthopaedics,4.7,1310,Orthopedic clinic,"3955 Indian River Blvd, Vero Beach, FL 32960, United States","MJ85+23 Vero Beach, Florida, USA",https://www.veroortho.com/?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite,+1 772-569-2330,Closed · Opens 8:30 am Wed,https://lh3.googleusercontent.com/p/AF1QipMVWd-y24nRcjSq3VWxBu-69fbMm_AlWgSLxLzS=w408-h273-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2026-02-10T22:34:15.463Z,,,
