placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned,attributes
https://www.google.com/maps/place/Arrowhead+Behavioral+Health/data=!4m7!3m6!1s0x883c7a085b1de00f:0xfcdb6c44c48d3!8m2!3d41.5894548!4d-83.6897058!16s%2Fg%2F1tfyf76w!19sChIJD-AdWwh6PIgR00hMxLbNDwA,Arrowhead Behavioral Health,3.2,155,Psychiatrist,"1725 Timberline Rd, Maumee, OH 43537, United States","H8Q6+Q4 Maumee, Ohio, USA",https://www.arrowheadbehavioral.com/,+1 419-891-9333,"Open 24 hours

Confirmed by phone call 5 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwP0rHX9ndP-AERYIFX33EzHkhuJdLAjRfHeaRXYlCx241weFr2Vs9Qtu7Z_cDpkh57Ge1mChPwLtnxmizWbBFtI4iUK4gZVc5Bi9docHZ6zzcW3kML44OS5oRxg9K1aa4af5iDmNLq0F7D=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2025-12-16T02:41:27.943Z,,,
https://www.google.com/maps/place/Health+419/data=!4m7!3m6!1s0x883c7b4ffe71df71:0xd230e4421fec7635!8m2!3d41.5882603!4d-83.6816772!16s%2Fg%2F11vr0cdsq9!19sChIJcd9x_k97PIgRNXbsH0LkMNI,Health 419,5.0,4,Mental health service,"1715 Indian Wood Cir Suite 200, Maumee, OH 43537, United States","H8Q9+88 Maumee, Ohio, USA",https://www.health419.com/,+1 419-740-0738,Closed · Opens 9 am Tue,https://lh3.googleusercontent.com/p/AF1QipPb5aVuMTtkUP0axI_6BV4wo0a8IJAHWbEgsTDE=w408-h306-k-no,true,9 am–5:30 pm,9 am–5:30 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2025-12-16T02:41:33.654Z,,,
https://www.google.com/maps/place/Anchored+In+Hope+Counseling/data=!4m7!3m6!1s0x883c7bce420876f5:0x4631200753ea9227!8m2!3d41.5870535!4d-83.6841376!16s%2Fg%2F11h391zwbm!19sChIJ9XYIQs57PIgRJ5LqUwcgMUY,Anchored In Hope Counseling,4.6,20,Mental health service,"1690 Woodlands Dr # 200, Maumee, OH 43537, United States","H8P8+R8 Maumee, Ohio, USA",http://www.anchoredinhopecounseling.org/,+1 419-491-0420,Closed · Opens 8:30 am Tue,https://lh3.googleusercontent.com/p/AF1QipMawVTqZrcW0S3pW3UUuHxnLnuovAsSJ6SmYTY4=w408-h474-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2025-12-16T02:41:38.577Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/The+Ironwood+Center/data=!4m7!3m6!1s0x883c773cf32b98cd:0x5bc9d8dfabbab68c!8m2!3d41.5752632!4d-83.6241618!16s%2Fg%2F11hmk57w4n!19sChIJzZgr8zx3PIgRjLa6q9_YyVs,The Ironwood Center,4.1,19,Counselor,"2211 River Rd, Maumee, OH 43537, United States","H9GG+48 Maumee, Ohio, USA",,+1 419-740-3052,"Closed · Opens 8 am Tue

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipN89gttrF5AuFls-2qWuXjnjGKvxqgPjHd66hDg=w408-h613-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2025-12-16T02:41:43.664Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Vital+Health/data=!4m7!3m6!1s0x883c773df1b50e01:0x7611e579fc838a22!8m2!3d41.5666696!4d-83.6548727!16s%2Fg%2F11pvmhz69l!19sChIJAQ618T13PIgRIoqD_HnlEXY,Vital Health,3.9,44,Medical Center,"111 Clinton Street 115, 119 Clinton St, Maumee, OH 43537, United States","H88W+M3 Maumee, Ohio, USA",http://www.vitalhcare.com/,+1 419-740-3022,"Closed · Opens 7 am Tue

Updated by this business 11 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOUrzOYrKAjqbRcu3-fewoFTNG8GaRO1kOXAq_v=w408-h272-k-no,true,7 am–7:30 pm,7 am–7:30 pm,7 am–7:30 pm,7 am–7:30 pm,7 am–7:30 pm,7 am–2 pm,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2025-12-16T02:41:48.524Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Evolve+Mental+Health+and+Wellness/data=!4m7!3m6!1s0x883c7b77ad431509:0xfbe035058f4e3042!8m2!3d41.5950348!4d-83.6679678!16s%2Fg%2F11sss96crw!19sChIJCRVDrXd7PIgRQjBOjwU14Ps,Evolve Mental Health and Wellness,5.0,1,Mental health service,"5330 Heatherdowns Blvd Suite 207, Toledo, OH 43614, United States","H8WJ+2R Toledo, Ohio, USA",https://www.evolvewellness419.com/,+1 419-314-9535,Closed · Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=78k76B92F7gpUJvZN76w6A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=112.36393&pitch=0&thumbfov=100,true,8 am–6 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–12 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2025-12-16T02:41:53.466Z,LGBTQ+ friendly,true,
"https://www.google.com/maps/place/Mindfully-+Maumee/@41.5882603,-83.6816772,17z/data=!3m1!4b1!4m6!3m5!1s0x883c7be35f3026df:0x38a6ca87e9310d92!8m2!3d41.5882603!4d-83.6816772!16s%2Fg%2F11jh6my2dg",Mindfully- Maumee,,,Mental health service,"1715 Indian Wood Cir Suite 200, Maumee, OH 43537, United States","H8Q9+88 Maumee, Ohio, USA",http://www.mindfully.com/,+1 888-830-0347,Closed · Opens 8 am Tue,,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–3 pm,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2025-12-16T02:42:00.226Z,,,
"https://www.google.com/maps/place/Well+Rooted+Counseling,+LLC/data=!4m7!3m6!1s0x883c77f27c56fdb5:0x547ab478858d0ef7!8m2!3d41.56096!4d-83.655643!16s%2Fg%2F11p12jw5kq!19sChIJtf1WfPJ3PIgR9w6NhXi0elQ","Well Rooted Counseling, LLC",5.0,3,Mental health service,"204 W Wayne St Suite 210-7, Maumee, OH 43537, United States","H86V+9P Maumee, Ohio, USA",http://www.wellrootedcounseling.com/,+1 419-740-0648,Closed · Opens 10 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2ABzFeEK8VdUe4tZGxo4GQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=164.06386&pitch=0&thumbfov=100,true,10 am–7 pm,10 am–7 pm,10 am–7 pm,10:30 am–6 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2025-12-16T02:42:05.185Z,Identifies as women-owned,,
"https://www.google.com/maps/place/Dr.+Susan+C.+Haley,+MD/data=!4m7!3m6!1s0x883c7c72fda5190b:0x57b092954d3a6bf3!8m2!3d41.5848231!4d-83.66387!16s%2Fg%2F1txc7q3f!19sChIJCxml_XJ8PIgR82s6TZWSsFc","Dr. Susan C. Haley, MD",3.8,8,Psychiatrist,"1446 S Reynolds Rd, Maumee, OH 43537, United States","H8MP+WF Maumee, Ohio, USA",https://susanhaleymd.com/,+1 419-794-0553,Closed · Opens 9 am Tue,https://lh3.googleusercontent.com/p/AF1QipPvC8HMDYWZs9qJk0EVHJE6VghfosrPdm8VPURO=w1459-h240-k-no,true,9 am–5 pm,9 am–5 pm,Closed,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2025-12-16T02:42:10.240Z,,,
"https://www.google.com/maps/place/Trinity+Care+of+Ohio,+LLC/data=!4m7!3m6!1s0x883c77a135700001:0x9a24a365039b0a78!8m2!3d41.559725!4d-83.630894!16s%2Fg%2F11f63ymm_d!19sChIJAQBwNaF3PIgReAqbA2WjJJo","Trinity Care of Ohio, LLC",4.8,31,Mental health clinic,"122 W Front St, Perrysburg, OH 43551, United States","H959+VJ Perrysburg, Ohio, USA",http://www.trinitycareofohio.com/,+1 419-377-8417,Closed · Opens 7 am Tue,https://lh3.googleusercontent.com/p/AF1QipO9JOfZhgTHUAZf-6-Hldr1hm44H0wiuS_MogoR=w408-h306-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Psychiatry+clinics+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2025-12-16T02:42:15.219Z,,,
